client,vendor_id,vendor_name,vendor_type,status,email,contact_name,all_emails,website,additional_notes,address,city,region,country,postal_code,documents_count,non_responsive_since,last_request_sent,external_codes,created_at,updated_at,sync_date
"Block Real Estate Services, LLC",69fded0c62446148bd848b17,Accelerate Auto Works Intermediate LLC,Party,active,tallman@pertronix.com,,tallman@pertronix.com,,,"10925 Mill Creek Road, Olathe, Kansas, 66061",Olathe,Kansas,United States,66061,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b1a,Actuarial Resources Corporation of Kansas LLC,Party,active,office.management@arcval.com,,office.management@arcval.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b1d,Adams Cable Equipmnt Inc,Party,active,jwidman@adamscableequipment.com,,jwidman@adamscableequipment.com,,,"9700 Widmer Road, Lenexa, Kansas, 66215",Lenexa,Kansas,United States,66215,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b20,Adare Pharmaceuticals,Party,active,sherry.arnold@adareps.com,,sherry.arnold@adareps.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b23,ADEMCO Inc,Party,active,Colleen.Paluzzi@adiglobal.com,,Colleen.Paluzzi@adiglobal.com,,,"275 Broadhollow Road, Melville, New York, 11747",Melville,New York,United States,11747,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b26,Advance Stores Co. Inc,Party,active,rent@advance-auto.com,,rent@advance-auto.com,,,"4401 East Truman Road, Kansas City, Missouri, 64127",Kansas City,Missouri,United States,64127,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b29,Advanced Pharmaceuticals LLC,Party,active,jsutton@ahtawellness.com,,jsutton@ahtawellness.com,,,"8071 Flint Street, Lenexa, Kansas, 66214",Lenexa,Kansas,United States,66214,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b2c,Advanced Turf Solutions Inc,Party,active,ap@advancedturf.com,,ap@advancedturf.com,,,"12955 Ford Drive, Fishers, Indiana, 46038",Fishers,Indiana,United States,46038,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b2f,Advantage Sales & Marketing,Party,active,daniela.ornelas@youradv.com,,daniela.ornelas@youradv.com; laura.valencia@youradv.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b32,Advocate Construction Inc,Party,active,accounting@advocateconstruction.com,,accounting@advocateconstruction.com,,,"827 North Avenue, Glendale Heights, Illinois, 60139",Glendale Heights,Illinois,United States,60139,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b35,AEE-EMF Inc,Party,active,sharilyn@aircraftelectrical.com,,sharilyn@aircraftelectrical.com,,,"102 Northwest Business Park Lane, Riverside, Missouri, 64150",Riverside,Missouri,United States,64150,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b38,Agape Montessori Administration Office,Party,active,tonypulliam1@gmail.com,,tonypulliam1@gmail.com,,,"16551 West 129th Street, Olathe, Kansas, 66062",Olathe,Kansas,United States,66062,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b3b,Agape Montessori School/Pulliam Properties LLC,Party,active,tonypulliam1@gmail.com,,tonypulliam1@gmail.com,,,"16551 West 129th Street, Olathe, Kansas, 66062",Olathe,Kansas,United States,66062,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b3e,AgForce Transport Services,Party,active,mpreisinger@agforcets.com,,mpreisinger@agforcets.com,,,"5101 College Boulevard, Leawood, Kansas, 66211",Leawood,Kansas,United States,66211,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b41,AGI SureTrack LLC,Party,active,apaccounting@agisuretrack.com,,apaccounting@agisuretrack.com,,,"8040 Bond Street, Overland Park, Kansas, 66214",Overland Park,Kansas,United States,66214,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b44,All Access Garage Doors,Party,active,allaccessdoorkc@gmail.com,,allaccessdoorkc@gmail.com,,,"Platte City, Missouri, 64079",Platte City,Missouri,United States,64079,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b47,All Copy Products Inc,Party,active,Accountspayable@allcopyproducts.com,,Accountspayable@allcopyproducts.com,,,"1635 West 13th Avenue, Denver, Colorado, 80204",Denver,Colorado,United States,80204,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b4a,Allergy & Asthma Care,Party,active,rtelles@fisergroup.com,,rtelles@fisergroup.com,,,"10787 Nall Avenue, Overland Park, Kansas, 66211",Overland Park,Kansas,United States,66211,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b4d,Allstate Insurance,Party,active,treinhart@allstate.com,,treinhart@allstate.com,,,"12755 South Mur-Len Road, Olathe, Kansas, 66062",Olathe,Kansas,United States,66062,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b50,Allure Hair Studio,Party,active,allurehair08@icloud.com,,allurehair08@icloud.com,,,"18005 East 30th Terrace Court South, Independence, Missouri, 64057",Independence,Missouri,United States,64057,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b53,Altium Healthcare Inc,Party,active,corporate.accounting@altiumpkg.com,,corporate.accounting@altiumpkg.com,,,"Spencer, Tennessee, 38585",Spencer,Tennessee,United States,38585,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b56,"Amazon.com Services, Inc.",Party,active,NAOPS-Rent@amazon.com,,NAOPS-Rent@amazon.com,,,"410 Terry Avenue North, Seattle, Washington, 98109",Seattle,Washington,United States,98109,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b59,American Residential Services LLC,Party,active,BCrihfield@ars.com,,BCrihfield@ars.com,,,"965 Ridge Lake Boulevard, Memphis, Tennessee, 38120",Memphis,Tennessee,United States,38120,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b5c,American West Worldwide,Party,active,AP@awest.com,,AP@awest.com,,,"51 Zaca Lane, San Luis Obispo, California, 93401",San Luis Obispo,California,United States,93401,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b5f,Ameriprise Holdings Inc,Party,active,,,,,,"Minneapolis, Minnesota, 55485",Minneapolis,Minnesota,United States,55485,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b62,AMSCO Supply LLC,Party,active,ap@amscosupply.net,,ap@amscosupply.net,,,"2021 South Lewis Avenue, Tulsa, Oklahoma, 74104",Tulsa,Oklahoma,United States,74104,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b65,Amsted Rail Company Inc,Party,active,rshryock@amstedrail.com,,rshryock@amstedrail.com,,,"10902 Strang Line Road, Lenexa, Kansas, 66215",Lenexa,Kansas,United States,66215,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b68,AN Cubed Marketing LLC,Party,active,,,,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b6b,Anixter Inc,Party,active,anixter@cresa.com,,anixter@cresa.com,,,"167 North Green Street, Chicago, Illinois, 60607",Chicago,Illinois,United States,60607,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b6e,Anntippia Young,Party,active,littlelambs012@yahoo.com,,littlelambs012@yahoo.com,,,"1454 Southwest Eagles Parkway, Grain Valley, Missouri, 64029",Grain Valley,Missouri,United States,64029,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b71,Anthony Vasquez,Party,active,anthonyvasquez131@gmail.com,,anthonyvasquez131@gmail.com,,,"1312 East North Avenue, Belton, Missouri, 64012",Belton,Missouri,United States,64012,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b74,Anytime Labor-KC Metro,Party,active,leases@labormaxstaffing.com,,leases@labormaxstaffing.com,,,"Kearney, Missouri",Kearney,Missouri,United States,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b77,"Apex Products, LLC",Party,active,Jim@apexprod.com,,Jim@apexprod.com,,,"8333 Melrose Drive, Lenexa, Kansas, 66214",Lenexa,Kansas,United States,66214,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0d62446148bd848b7a,Apexsite Cleaning,Party,active,laura@apexsitecleaning.com,,laura@apexsitecleaning.com,,,"8542 Grandview Avenue, Overland Park, Kansas, 66212",Overland Park,Kansas,United States,66212,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848b7d,APLOS INC,Party,active,andy@aplos.world,,andy@aplos.world,,,"1042 Catalonia Avenue, Coral Gables, Florida, 33134",Coral Gables,Florida,United States,33134,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848b80,Apple Central LLC,Party,active,Darlene.Valentine@issvc.com,,Darlene.Valentine@issvc.com; mrummel@afcbrands.com,,,"170 Mason Street, Greenwich, Connecticut, 06830",Greenwich,Connecticut,United States,06830,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848b83,Applied Industrial Technologies Inc,Party,active,realestate@applied.com,,realestate@applied.com,,,"Cleveland, Ohio",Cleveland,Ohio,United States,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848b86,ARC Physical Therapy Plus,Party,active,ap@arcpt.com,,ap@arcpt.com,,,"1300 West Sam Houston Parkway South, Houston, Texas, 77042",Houston,Texas,United States,77042,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848b89,Archway Technology LLC,Party,active,,,,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848b8c,ARJ Infusion Services,Party,active,ARJ.AP@promptcare.net,,ARJ.AP@promptcare.net,,,"7930 Marshall Drive, Lenexa, Kansas, 66214",Lenexa,Kansas,United States,66214,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848b8f,Arrowhead Forensics,Party,active,Bri@arrowheadforensics.com,,Bri@arrowheadforensics.com; bbeggs@crownmedrealty.com,,,"11006 Strang Line Road, Lenexa, Kansas, 66215",Lenexa,Kansas,United States,66215,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848b92,Arthur J Gallagher Risk Management Services Inc,Party,active,AJG.AMER@cushwake.com,,AJG.AMER@cushwake.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848b95,Ashley Nelson Studios,Party,active,ashleynelsonstudios@gmail.com,,ashleynelsonstudios@gmail.com,,,"7606 West 86th Street, Overland Park, Kansas, 66212",Overland Park,Kansas,United States,66212,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848b98,Aspen Properties Group,Party,active,accounting@aspenprop.com,,accounting@aspenprop.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848b9b,Aspire Wealth Management LLC,Party,active,toddschick@aspirewealthmgt.com,,toddschick@aspirewealthmgt.com,,,"7400 West 130th Street, Overland Park, Kansas, 66213",Overland Park,Kansas,United States,66213,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848b9e,Astro Ventures,Party,active,,,,,,"17331 East 40th Terrace South, Independence, Missouri, 64055",Independence,Missouri,United States,64055,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848ba1,Asurion LLC,Party,active,meghana.pandit@asurion.com,,meghana.pandit@asurion.com,,,"648 Grassmere Park, Nashville, Tennessee, 37211",Nashville,Tennessee,United States,37211,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848ba4,Asurion UBIF,Party,active,Eunice.Kwarteng@asurion.com,,Eunice.Kwarteng@asurion.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848ba7,Athletico Management LLC,Party,active,athletico@swearingen.com,,athletico@swearingen.com; rent@athletico.com,,,"6055 Primacy Parkway, Memphis, Tennessee, 38119",Memphis,Tennessee,United States,38119,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848baa,Auction Merchandise of KC,Party,active,brad@adafundraising.com,,brad@adafundraising.com,,,"7150 Southeast Rhodus Road, Lawson, Missouri, 64062",Lawson,Missouri,United States,64062,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848bad,Audio Video Graphics,Party,active,greg@rpawards.com,,greg@rpawards.com,,,"17501 East 40th Street, Independence, Missouri, 64055",Independence,Missouri,United States,64055,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848bb0,AVI-SPL LLC,Party,active,ivan.caggino@avispl.com,,ivan.caggino@avispl.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848bb3,Axiom Strategies LLC,Party,active,accounting@garrisonmanagementgroup.com,,accounting@garrisonmanagementgroup.com,,,"800 West 47th Street, Kansas City, Missouri, 64112",Kansas City,Missouri,United States,64112,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848bb6,Axis Reinsurance Company,Party,active,axisspecialty_invoice@concursolutions.com,,axisspecialty_invoice@concursolutions.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848bb9,B & B Pet Products LLC,Party,active,armstrongmcm@yahoo.com,,armstrongmcm@yahoo.com,,,"770 West Bedford Euless Road, Hurst, Texas, 76053",Hurst,Texas,United States,76053,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848bbc,Bachelor Controls Inc,Party,active,accounting@bachelorcontrols.com,,accounting@bachelorcontrols.com,,,"123 North Washington Street, Sabetha, Kansas, 66534",Sabetha,Kansas,United States,66534,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848bbf,Baking with a Bass,Party,active,Bakingwithabass@gmail.com,,Bakingwithabass@gmail.com,,,"1428 Southwest Eagles Parkway, Grain Valley, Missouri, 64029",Grain Valley,Missouri,United States,64029,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848bc2,Bank of America,Party,active,BAC.AdminDocs@am.jll.com,,BAC.AdminDocs@am.jll.com,,,"525 North Tryon Street, Charlotte, North Carolina, 28202",Charlotte,North Carolina,United States,28202,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848bc5,Bankers Life and Casualty Company,Party,active,p.cardona@banklife.com,,p.cardona@banklife.com,,,"111 East Wacker Drive, Chicago, Illinois, 60601",Chicago,Illinois,United States,60601,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0e62446148bd848bc8,Banner Logistics,Party,active,rtaylor@bannerlogistics.com,,rtaylor@bannerlogistics.com,,,"1600 Vernon Street, North Kansas City, Missouri, 64116",North Kansas City,Missouri,United States,64116,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848bcb,"Banner Logistics, Inc",Party,active,rtaylor@bannerlogistics.com,,rtaylor@bannerlogistics.com,,,"1600 Vernon Street, North Kansas City, Missouri, 64116",North Kansas City,Missouri,United States,64116,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848bce,Bazaar Collectibles LLC,Party,active,taninra@gmail.com,,taninra@gmail.com,,,"8600 East 55th Street, Kansas City, Missouri, 64129",Kansas City,Missouri,United States,64129,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848bd1,BB Holdings MO LLC,Party,active,finance@dutchbros.com,,finance@dutchbros.com,,,"1930 West Rio Salado Parkway, Tempe, Arizona, 85281",Tempe,Arizona,United States,85281,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848bd4,BB Magical Fruit dba Costa Vida Fresh Mexican Grill,Party,active,Rick.blackham@gmail.com,,Rick.blackham@gmail.com,,,"SE M 291 Hwy, Lee's Summit, Missouri, 64082",Lee's Summit,Missouri,United States,64082,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848bd7,BDM Inc,Party,active,BDMAccounting@bdm-america.com,,BDMAccounting@bdm-america.com,,,"246 Northwest Plaza Drive, Riverside, Missouri, 64150",Riverside,Missouri,United States,64150,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848bda,Bella's Italian Restaurant Inc,Party,active,Adhurimveliu@hotmail.com,,Adhurimveliu@hotmail.com,,,"617 Southeast Battery Drive, Lee's Summit, Missouri, 64063",Lee's Summit,Missouri,United States,64063,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848bdd,"Belton North Cass, LLC",Party,active,accounting@pepperjax.com,,accounting@pepperjax.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848be0,Beltone Hearing Aid Center,Party,active,cmaloney@midwestbeltone.com,,cmaloney@midwestbeltone.com,,,"1415 West Highway 50, O'Fallon, Illinois, 62269",O'Fallon,Illinois,United States,62269,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848be3,Best Wash Holdings LLC,Party,active,tom.ohara@bestwashlaundromats.com,,tom.ohara@bestwashlaundromats.com,,,"3600 North Lindbergh Boulevard, Saint Ann, Missouri, 63074",Saint Ann,Missouri,United States,63074,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848be6,Better Way Dogs LLC,Party,active,betterwaydogs@gmail.com,,betterwaydogs@gmail.com,,,"1715 1/2 West 39th Street, Kansas City, Missouri, 64111",Kansas City,Missouri,United States,64111,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848be9,Betur LLC,Party,active,anthonysdavisjr@gmail.com,,anthonysdavisjr@gmail.com,,,"1715 1/2 West 39th Street, Kansas City, Missouri, 64111",Kansas City,Missouri,United States,64111,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848bec,BHPS Restaurant Group LLC,Party,active,aporter@gosarpinos.com,,aporter@gosarpinos.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848bef,Biomune Company,Party,active,tracey.bailes@ceva.com,,tracey.bailes@ceva.com,,,"8735 Rosehill Road, Lenexa, Kansas, 66215",Lenexa,Kansas,United States,66215,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848bf2,Bird Dog Shaved Ice LLC,Party,active,birddogshavedice@gmail.com,,birddogshavedice@gmail.com,,,"1400 Southwest Eagles Parkway, Grain Valley, Missouri, 64029",Grain Valley,Missouri,United States,64029,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848bf5,Block Maintenance Solutions LLC,Party,active,dleach@blockllc.com,,dleach@blockllc.com,,,"4622 Pennsylvania Avenue, Kansas City, Missouri, 64112",Kansas City,Missouri,United States,64112,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848bf8,Block Multi-Family Group,Party,active,bmgap@blockmultifamily.com,,bmgap@blockmultifamily.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848bfb,Block Partners LLC,Party,active,dchadwick@blockllc.com,,dchadwick@blockllc.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848bfe,Blue Star Investments LLC,Party,active,accounting@anytimefitnessusa.com,,accounting@anytimefitnessusa.com,,,"4800 South Louise Avenue, Sioux Falls, South Dakota, 57106",Sioux Falls,South Dakota,United States,57106,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848c01,BluSky Restoration Contractors LLC,Party,active,angie.boswell@goblusky.com,,angie.boswell@goblusky.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848c04,BluSky Salon Suites Inc,Party,active,diana.cheatham@aol.com,,diana.cheatham@aol.com,,,"29621 Ashmore Way, Spring Hill, Kansas, 66083",Spring Hill,Kansas,United States,66083,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848c07,BMO Bank N.A.,Party,active,Procurement.propertyadminUS@bmo.com,,Procurement.propertyadminUS@bmo.com,,,"111 West Monroe Street, Chicago, Illinois, 60603",Chicago,Illinois,United States,60603,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848c0a,BMS Fitness Solutions Inc,Party,active,akkaolathe@gmail.com,,akkaolathe@gmail.com,,,"15601 West 125th Terrace, Olathe, Kansas, 66062",Olathe,Kansas,United States,66062,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848c0d,Bode Cellmark Forensics Inc,Party,active,AP@bodetech.com,,AP@bodetech.com,,,"10430 Furnace Road, Lorton, Virginia, 22079",Lorton,Virginia,United States,22079,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848c10,"Body Contour Centers, LLC",Party,active,sonobello@mbgconsulting.com,,sonobello@mbgconsulting.com,,,"980 North Michigan Avenue, Chicago, Illinois, 60611",Chicago,Illinois,United States,60611,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848c13,Brave LLC,Party,active,rattmussell@gmail.com,,rattmussell@gmail.com,,,"319 Northeast Vivion Road, Kansas City, Missouri, 64118",Kansas City,Missouri,United States,64118,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848c16,Brett Janssen,Party,active,,,,,,"4041 Broadway Boulevard, Kansas City, Missouri, 64111",Kansas City,Missouri,United States,64111,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0f62446148bd848c19,Briggs Inc,Party,active,accountspayable@briggsinc.com,,accountspayable@briggsinc.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1062446148bd848c1c,Brown & Root Industrial Services LLC,Party,active,ap.invoices@brownandroot.com,,ap.invoices@brownandroot.com,,,"4171 Essen Lane, Baton Rouge, Louisiana, 70809",Baton Rouge,Louisiana,United States,70809,0,,,,2026-05-08,2026-05-08,2026-05-13
